message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.883063])";"30";"turtlesim2.sim";"1727095879.985446180";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.799896])";"30";"turtlesim3.sim";"1727095879.977706729";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.869202])";"30";"turtlesim2.sim";"1727095879.969457158";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.786034])";"30";"turtlesim3.sim";"1727095879.962132649";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.938508])";"30";"turtlesim1.sim";"1727095879.957357116";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.855341])";"30";"turtlesim2.sim";"1727095879.953884312";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.772173])";"30";"turtlesim3.sim";"1727095879.946506788";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.924647])";"30";"turtlesim1.sim";"1727095879.942096829";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.841479])";"30";"turtlesim2.sim";"1727095879.938277219";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.758312])";"30";"turtlesim3.sim";"1727095879.929676075";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.910786])";"30";"turtlesim1.sim";"1727095879.925931444";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.827618])";"30";"turtlesim2.sim";"1727095879.922735850";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.744451])";"30";"turtlesim3.sim";"1727095879.913940260";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.896924])";"30";"turtlesim1.sim";"1727095879.909300295";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.813757])";"30";"turtlesim2.sim";"1727095879.905127374";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.730589])";"30";"turtlesim3.sim";"1727095879.898758354";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.883063])";"30";"turtlesim1.sim";"1727095879.892918191";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.799896])";"30";"turtlesim2.sim";"1727095879.890640747";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.716728])";"30";"turtlesim3.sim";"1727095879.882652381";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.869202])";"30";"turtlesim1.sim";"1727095879.877163633";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.786034])";"30";"turtlesim2.sim";"1727095879.873972588";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.702867])";"30";"turtlesim3.sim";"1727095879.866596791";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.855341])";"30";"turtlesim1.sim";"1727095879.860696943";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.772173])";"30";"turtlesim2.sim";"1727095879.857417806";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.689006])";"30";"turtlesim3.sim";"1727095879.850345704";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.841479])";"30";"turtlesim1.sim";"1727095879.845139234";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.758312])";"30";"turtlesim2.sim";"1727095879.842545713";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.675144])";"30";"turtlesim3.sim";"1727095879.835355374";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.827618])";"30";"turtlesim1.sim";"1727095879.829627252";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.744451])";"30";"turtlesim2.sim";"1727095879.825983370";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.661283])";"30";"turtlesim3.sim";"1727095879.817784505";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.813757])";"30";"turtlesim1.sim";"1727095879.812835111";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.730589])";"30";"turtlesim2.sim";"1727095879.809448462";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.647422])";"30";"turtlesim3.sim";"1727095879.802967017";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.799896])";"30";"turtlesim1.sim";"1727095879.797536812";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.716728])";"30";"turtlesim2.sim";"1727095879.793083420";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.633561])";"30";"turtlesim3.sim";"1727095879.786566202";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.786034])";"30";"turtlesim1.sim";"1727095879.781639529";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.702867])";"30";"turtlesim2.sim";"1727095879.777653098";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.619700])";"30";"turtlesim3.sim";"1727095879.771236611";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.772173])";"30";"turtlesim1.sim";"1727095879.765956083";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.689006])";"30";"turtlesim2.sim";"1727095879.761024295";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.102731, y=2.605838])";"30";"turtlesim3.sim";"1727095879.754725065";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.758312])";"30";"turtlesim1.sim";"1727095879.748726703";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.675144])";"30";"turtlesim2.sim";"1727095879.745541718";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.744451])";"30";"turtlesim1.sim";"1727095879.733279429";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.661283])";"30";"turtlesim2.sim";"1727095879.729703437";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.730589])";"30";"turtlesim1.sim";"1727095879.717691342";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.647422])";"30";"turtlesim2.sim";"1727095879.712853461";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.716728])";"30";"turtlesim1.sim";"1727095879.701312958";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.633561])";"30";"turtlesim2.sim";"1727095879.698321003";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.702867])";"30";"turtlesim1.sim";"1727095879.685288937";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.619700])";"30";"turtlesim2.sim";"1727095879.682123148";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.689006])";"30";"turtlesim1.sim";"1727095879.669312686";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.102731, y=2.605838])";"30";"turtlesim2.sim";"1727095879.665958663";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.675144])";"30";"turtlesim1.sim";"1727095879.653775269";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.661283])";"30";"turtlesim1.sim";"1727095879.637415734";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.647422])";"30";"turtlesim1.sim";"1727095879.620896829";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.633561])";"30";"turtlesim1.sim";"1727095879.605085188";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.619700])";"30";"turtlesim1.sim";"1727095879.590151796";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.102731, y=2.605838])";"30";"turtlesim1.sim";"1727095879.573580604";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
